pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-07-04,92.0,-1.27,5.62,"Albies, Ozzie",645277,669456,home_run,hit_into_play,,,,,2,Ozzie Albies homers (21) on a fly ball to right field.    Ronald Acuna Jr.  scores.,R,L,R,CLE,ATL,X,,fly_ball,2,0,2023,-0.99,1.1,-0.23,2.65,,660670.0,,1,5,Top,236.93,97.41,,,595956,,,4.840938443264204,-133.95578906370304,-4.213554171253,-12.933185613502072,24.86703830205155,-18.14431762117312,3.13,1.54,369.0,98.4,37.0,93.6,2278,6.9,717495,669456,595956,605137,665926,671289,642708,680757,664702,681807,53.61,0.163,0.292,2.0,1.0,0.0,3.0,3.0,36,3,4-Seam Fastball,2,0,0,2,2,2,2,2,Strategic,Standard,212,-0.209,1.494
FC,2023-07-04,96.2,-0.84,6.02,"Albies, Ozzie",645277,661403,home_run,hit_into_play,,,,,4,Ozzie Albies homers (22) on a fly ball to right field.,R,L,R,CLE,ATL,X,,fly_ball,0,2,2023,0.16,0.79,-0.32,2.37,,,,0,9,Top,216.47,77.54,,,681807,,,1.0231406732811297,-140.1744512188534,-5.987130466019125,1.9329378507382853,27.85044627873631,-20.600543515149937,3.13,1.54,373.0,97.5,34.0,96.9,2639,6.4,717495,661403,681807,672356,665926,671289,642708,680757,664702,686823,54.15,0.237,0.439,2.0,1.0,0.0,3.0,5.0,73,4,Cutter,5,4,4,5,5,5,5,5,Standard,Standard,196,-0.342,1.087
SI,2023-07-05,93.6,-1.13,6.36,"Acuña Jr., Ronald",660670,615698,single,hit_into_play,,,,,1,Ronald Acuna Jr.  singles on a ground ball to second baseman Andres Gimenez.   Orlando Arcia to 2nd.,R,R,R,CLE,ATL,X,4.0,ground_ball,1,0,2023,-0.84,1.01,-0.77,2.93,,,606115.0,1,4,Top,153.45,145.24,,,666310,,,2.786866154313654,-136.42850935524754,-5.439145822069891,-11.108399182264844,25.996821122644988,-18.61996556609624,3.48,1.59,123.0,60.5,16.0,94.5,2071,6.4,717486,615698,666310,681807,665926,608070,642708,680757,664702,686823,54.05,0.229,0.206,0.9,1.0,1.0,0.0,2.0,34,2,Sinker,0,5,5,0,5,0,5,0,Standard,Standard,216,-0.008,0.447
CU,2023-07-05,83.7,-1.08,6.49,"Acuña Jr., Ronald",660670,615698,field_out,hit_into_play,,,,,5,"Ronald Acuna Jr.  grounds out, third baseman Jose Ramirez to first baseman David Fry.",R,R,R,CLE,ATL,X,5.0,ground_ball,0,2,2023,0.14,-0.35,0.21,2.28,,,,1,2,Top,85.39,163.37,,,666310,,,2.68547932921602,-121.89907117311338,-2.662019944198555,0.9506475821856027,22.409589236256043,-35.41267449974233,3.48,1.59,3.0,87.8,-39.0,84.0,2433,6.3,717486,615698,666310,681807,665926,608070,642708,680757,664702,686823,54.23,0.043,0.039,0.0,1.0,0.0,0.0,2.0,15,3,Curveball,0,4,4,0,4,0,4,0,Standard,Standard,73,0.007,-0.107
CU,2023-07-05,81.4,1.67,6.37,"Acuña Jr., Ronald",660670,656529,force_out,hit_into_play,,,,,5,"Ronald Acuna Jr.  grounds into a force out, third baseman Jose Ramirez to second baseman Andres Gimenez.   Michael Harris II out at 2nd.",R,R,L,CLE,ATL,X,5.0,ground_ball,1,2,2023,-0.59,-1.21,-0.12,2.4,607680.0,,671739.0,2,9,Top,104.79,163.59,,,666310,,,-2.9240744269427044,-118.49286621066342,0.1036602074970105,-4.931921343298651,24.84032900263868,-43.7455783769738,3.48,1.59,20.0,110.1,-6.0,82.2,2541,7.0,717486,656529,666310,681807,665926,608070,642708,680757,664702,686823,53.51,0.437,0.417,0.0,1.0,0.0,0.0,2.0,81,5,Curveball,0,8,8,0,8,0,8,0,Standard,Standard,331,0.001,-0.383
CU,2023-07-05,74.7,-1.39,6.0,"Acuña Jr., Ronald",660670,675540,single,hit_into_play,,,,,5,Ronald Acuna Jr.  singles on a sharp line drive to left fielder Steven Kwan.,R,R,R,CLE,ATL,X,7.0,line_drive,1,2,2023,0.86,-1.17,0.02,2.86,,,,2,8,Top,36.48,69.54,,,666310,,,1.359594924062209,-108.65882066423347,2.8404119883930563,6.544982351699323,20.750492502783025,-42.155363761702056,3.48,1.59,386.0,113.1,16.0,74.1,2538,6.0,717486,675540,666310,681807,665926,608070,642708,680757,664702,686823,54.45,0.763,0.958,0.9,1.0,1.0,0.0,6.0,69,4,Curveball,0,6,6,0,6,0,6,0,Standard,Standard,29,0.0,0.164
SL,2023-07-05,89.4,1.62,5.48,"Acuña Jr., Ronald",660670,682120,strikeout,swinging_strike,,,,,13,Ronald Acuna Jr.  strikes out swinging.  Michael Harris II steals (11) 2nd base.,R,R,L,CLE,ATL,S,2.0,,3,2,2023,0.11,0.5,-1.03,2.06,,,671739.0,1,6,Top,,,,,666310,,,-6.8282394861229205,-130.24740923826474,-3.633736711311687,2.463963635334071,22.125224962691227,-25.9676741397173,3.48,1.59,,,,90.9,2277,6.7,717486,682120,666310,681807,665926,608070,642708,680757,664702,686823,53.77,,,0.0,1.0,0.0,0.0,,53,6,Slider,0,5,5,0,5,0,5,0,Standard,Standard,218,0.002,-0.37
SI,2023-07-05,94.1,-1.17,6.34,"Acuña Jr., Ronald",660670,615698,field_out,hit_into_play,,,,,1,Ronald Acuna Jr.  lines out to third baseman Jose Ramirez.,R,R,R,CLE,ATL,X,5.0,line_drive,3,1,2023,-1.05,0.96,-0.53,2.93,,,,0,1,Top,102.97,166.01,,,666310,,,4.008441279360065,-136.94791455567363,-5.315410502214017,-14.157124999044813,28.88688011221847,-19.10383512374897,3.48,1.59,132.0,101.4,7.0,94.6,2170,6.5,717486,615698,666310,681807,665926,608070,642708,680757,664702,686823,54.04,0.66,0.622,0.0,1.0,0.0,0.0,4.0,1,5,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,214,0.022,-0.396
FS,2023-07-05,86.6,-1.11,6.26,"Albies, Ozzie",645277,615698,double_play,hit_into_play,,,,,7,"Ozzie Albies lines into an unassisted double play, first baseman David Fry.   Ronald Acuna Jr.  out at 1st.",R,L,R,CLE,ATL,X,3.0,line_drive,1,2,2023,-0.85,0.78,-0.42,1.69,,606115.0,660670.0,1,4,Top,160.33,162.79,,,666310,,,3.3835868220349674,-126.0491262295838,-6.350991184203912,-9.757461319217352,25.355579849423016,-22.741802366418035,3.13,1.54,128.0,91.1,8.0,87.0,1020,6.5,717486,615698,666310,681807,665926,608070,642708,680757,664702,686823,53.97,0.557,0.513,0.0,1.0,0.0,0.0,4.0,35,4,Split-Finger,0,5,5,0,5,0,5,0,Standard,Standard,237,0.02,-0.33
SI,2023-07-05,93.3,-1.3,6.3,"Albies, Ozzie",645277,615698,field_out,hit_into_play,,,,,2,Ozzie Albies flies out to left fielder Steven Kwan.,R,L,R,CLE,ATL,X,7.0,fly_ball,2,2,2023,-1.18,0.81,0.07,3.08,,,,2,2,Top,78.73,135.11,,,666310,,,6.131636154945309,-135.73870438776206,-4.380051435100912,-15.963023411946532,27.012720925281467,-21.369449816270624,3.13,1.54,189.0,86.7,62.0,93.8,1961,6.4,717486,615698,666310,681807,665926,608070,642708,680757,664702,686823,54.09,0.011,0.012,0.0,1.0,0.0,0.0,3.0,16,5,Sinker,0,4,4,0,4,0,4,0,Infield shade,Standard,219,0.005,-0.09
FF,2023-07-05,97.9,1.35,5.6,"Albies, Ozzie",645277,682120,field_out,hit_into_play,,,,,7,Ozzie Albies lines out to left fielder Steven Kwan.,R,R,L,CLE,ATL,X,7.0,line_drive,2,0,2023,0.71,1.11,-0.7,1.87,,671739.0,,2,6,Top,75.57,92.31,,,666310,,,-7.287714472061432,-142.35818969632123,-7.282517044282348,11.251318196697158,28.984571879328755,-15.582134557451417,3.13,1.54,293.0,95.2,17.0,99.5,2417,7.0,717486,682120,666310,681807,665926,608070,642708,680757,664702,686823,53.52,0.529,0.498,0.0,1.0,0.0,0.0,4.0,54,3,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,135,0.006,-0.382
FF,2023-07-05,92.1,-1.5,5.97,"Albies, Ozzie",645277,675540,single,hit_into_play,,,,,13,Ozzie Albies singles on a ground ball to right fielder Will Brennan.   Ronald Acuna Jr.  to 3rd.,R,L,R,CLE,ATL,X,9.0,ground_ball,0,0,2023,-0.44,1.54,-0.88,1.89,,,660670.0,2,8,Top,180.47,126.35,,,666310,,,2.538767336017463,-133.90373036535047,-7.880936129709384,-5.88884778678481,29.080634038501085,-12.107278682022203,3.13,1.54,123.0,81.1,10.0,92.1,2213,6.4,717486,675540,666310,681807,665926,608070,642708,680757,664702,686823,54.13,0.443,0.402,0.9,1.0,1.0,0.0,4.0,70,1,4-Seam Fastball,0,6,6,0,6,0,6,0,Infield shade,Standard,192,-0.001,0.309
